# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2021-11-17 at 14:10:02
#
# Requested input R.A. = 204.0208900 degrees
# Requested input Dec. = 28.9833830 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2459900.00000 days
# Authenticated program IDs = 1, 2, 3
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 627 14 2 ZTF_g 448373485415 0 3.1808 79.7857 5.27018 26.2948 2.38528e-05 0.0338101 -0.0268865 3.66731e-05 284 30. 0.066562 0.063139 20.5649 26.2948 1 2458202.8734838 627120154 32.6841491140049 29.4495104428894 1.23456484116542 1.06753939050962 55.2615722153075 44.4106416900836 1.25271241230611 1.13394599039455 1.58866234657244 20.9779998779297 0.125 2.94600009918213 0.335999995470047 2458166.916574 2458274.755579 0
 1 627 14 2 ZTF_g 451304145415 0 2.625 79.0107 11.8122 26.308 3.82465e-05 0.0396909 -0.0512797 6.97795e-05 238 30. 0.063289 0.066268 19.5732 26.308 1 2458205.8041435 627120154 1.62123107203793 67.3092918541031 0.0267932069351822 1.0254557391748 26.7576612414294 106.906637037958 0.251975708672097 1.08497261076354 1.58866234657244 20.9779998779297 0.125 2.94600009918213 0.335999995470047 2458166.916574 2458274.755579 0
 2 627 14 2 ZTF_g 451346135415 0 2.4842 55.6284 14.3254 25.9302 7.79761e-05 0.0466069 -0.0484519 0.000173468 175 30. 0.067454 0.064384 19.0385 25.9302 1 2458205.8461343 627120154 25.2267191344268 74.2635205083767 0.37786793448119 1.00355246422402 3.112529345682 120.128870469017 0.0260844241494173 1.08871513950436 1.58866234657244 20.9779998779297 0.125 2.94600009918213 0.335999995470047 2458166.916574 2458274.755579 0
 3 627 14 2 ZTF_g 454339465415 0 2.2748 71.0178 25.6361 26.1745 8.65106e-05 0.0408275 -0.0366588 0.000204808 125 30. 0.062966 0.075521 18.7404 26.1745 1 2458208.8394676 627120154 85.4110102338765 133.239942322728 0.713073379706247 1.06315057459955 -55.6050480330759 217.856868162594 -0.256955641118601 1.10815485877993 1.58866234657244 20.9779998779297 0.125 2.94600009918213 0.335999995470047 2458166.916574 2458274.755579 0
 4 627 14 2 ZTF_g 454389815415 1 2.7316 61.7896 31.0297 25.9068 0.000239791 0.045488 0.040272 0.000571688 72 30. 0.074195 0.07383 18.2497 25.9068 1 2458208.8898148 627120154 26.6497341487064 175.137156001741 0.169265866583618 1.05150283808368 -339.927485468481 275.106129844632 -1.24394507979185 1.14705202642572 1.58866234657244 20.9779998779297 0.125 2.94600009918213 0.335999995470047 2458166.916574 2458274.755579 0
 5 627 14 2 ZTF_g 457346785415 0 3.7573 79.987 12.3301 26.3142 6.29235e-05 0.0418494 -0.0207645 0.000131827 166 30. 0.083263 0.086692 19.3019 26.3142 1 2458211.8467824 627120154 -20.8557780567571 83.9958790414412 -0.27619970992207 1.14837018630755 -44.5392882942116 110.935862850108 -0.404190870395285 1.21173052176906 1.58866234657244 20.9779998779297 0.125 2.94600009918213 0.335999995470047 2458166.916574 2458274.755579 0
 6 627 14 2 ZTF_g 460283105415 0 12.0757 49.8579 4.68384 25.7757 3.20727e-05 0.0378474 -0.0132942 5.66669e-05 251 30. 0.071713 0.078651 20.065 25.7757 1 2458214.7831019 627120154 16.8193714140637 30.8811697618409 0.605857961504367 0.967790907780947 40.8511796909356 44.6289240917125 0.921517055889769 1.17808829892815 1.58866234657244 20.9779998779297 0.125 2.94600009918213 0.335999995470047 2458166.916574 2458274.755579 0
 7 627 14 2 ZTF_r 460328575415 0 3.3016 265.866 17.7989 25.4816 4.25503e-05 0.0417465 0.113508 6.5199e-05 249 30. 0.07625 0.07776 18.9696 26.275 1 2458214.8285764 627120254 54.7305784853942 109.812560523204 0.554412254810433 1.07577860283616 -21.4166103228782 155.13676011976 -0.138979648723883 1.12977148672734 1.12749269352508 20.110000038147 0.0860000029206276 3.19600009918213 0.287000000476837 2458155.966875 2458186.935347 0
 8 627 14 2 ZTF_i 460386095415 48 2.8274 21.3835 12.8915 23.0177 0.000442047 0.0701444 0.175919 0.00184475 34 30. 0.097783 0.080761 16.1307 23.0177 2 2458214.8860995 627120354 79.248231833957 74.2479867969265 1.18729790036298 1.06342271447677 231.725127954882 113.133093065865 2.06204748497529 1.11538887062186 0.741620671468685 20.5299998855591 0.118000000715256 1.64400005340576 0.263000011444092 2458174.040185 2458292.677176 0
